Symbol,Open,High,Low,PREV. CLOSE,LTP
NIFTY 50,11939,12017.35,11633.3,11962.1,11661.85
TCS,2079.5,2180.7,2063.6,2079.05,2167.5
HINDUNILVR,2049.35,2096,2030.05,2034.25,2074
NESTLEIND,15300,15661.75,15184.4,15359.45,15619.95
TECHM,796.95,812,765.7,796.6,807
WIPRO,236.5,239.35,234.3,236.8,237.15
INFY,775.1,791.25,769.25,775.95,777
DRREDDY,3114.5,3140,3096.85,3114.5,3117.9
HCLTECH,591.4,597.7,580.75,591.4,590.8
CIPLA,446.5,452.2,437.75,446.9,445.6
INFRATEL,245.25,250.6,240,248.3,247.35
BHARTIARTL,493.4,501.25,483.3,496.45,494.2
BAJAJ-AUTO,3173.6,3215.6,3124.8,3180.05,3145
TITAN,1186.85,1218,1165.6,1187.75,1173.25
EICHERMOT,20290,20598,19910.25,20289.3,19990
ADANIPORTS,369.8,371.4,360.65,369.4,362.35
ASIANPAINT,1802,1817.8,1747,1795.65,1759.9
MARUTI,6915,7109.8,6740.3,6913.5,6775
BAJFINANCE,4350,4447.5,4203.3,4365.9,4274.05
KOTAKBANK,1684,1689.45,1630.05,1691.75,1655
JSWSTEEL,249,257.3,242.6,250.7,245.25
GRASIM,775,789.75,754.55,778.9,761.2
VEDL,138.75,139,133.5,137.9,134.35
HINDALCO,187.65,189.85,182.8,189.35,184.45
POWERGRID,186.8,186.8,176.95,186.85,182
SUNPHARMA,432.95,437.4,419.4,434.3,422.8
HDFCBANK,1220,1227.7,1191.35,1226.3,1192.5
RELIANCE,1405.3,1426.95,1371.1,1411.65,1372
GAIL,121.5,123.95,115.6,120.45,116.9
NTPC,112.85,112.85,108.05,112.85,109.5
AXISBANK,728.55,734.35,702,729.3,707
HEROMOTOCO,2489.85,2531,2380.15,2501.85,2420
UPL,528,533.95,498.7,526.55,508.5
YESBANK,39.15,40.2,37.6,39.25,37.9
BRITANNIA,3161,3220,3080,3200.7,3087.7
INDUSINDBK,1249.95,1262.75,1195.2,1258.85,1213
TATASTEEL,431.5,440,420.1,438.7,422.6
BPCL,456.5,464.4,437.3,456.95,440.15
IOC,113.35,114.7,108.15,113.45,109.25
ULTRACEMCO,4422,4538.9,4194.7,4416.1,4247
ICICIBANK,524,528,501.85,525.65,505.5
M&M,566,581.2,528.95,567.15,545.1
COALINDIA,182,182,171.05,181.7,174.3
ONGC,109,109.55,102.7,108.95,104
SBIN,317.95,322.65,296.3,318.45,302.8
BAJAJFINSV,9442.55,9614,8820,9441.4,8950
ZEEL,269.15,269.15,251.2,269.15,253
LT,1372.6,1383.7,1280,1369.3,1286.6
HDFC,2406,2422.7,2252.75,2414,2262
TATAMOTORS,175.4,178.8,163.7,176.6,165.4
ITC,236.9,239.25,215.5,235.15,219.25
